Time,CameraY,RHandY,LHandY
0.06,0.4731933,0.4111227,0.9105359
0.12,0.495654,0.4657017,0.8838662
0.18,0.4949584,0.4982325,0.8659456
0.24,0.5060174,0.5456207,0.8368964
0.3,0.5187033,0.5756854,0.8165072
0.36,0.5332099,0.617621,0.7852655
0.42,0.5420149,0.6517558,0.7571738
0.4800001,0.5483505,0.6905774,0.7219422
0.54,0.5501818,0.7186349,0.6940182
0.6,0.5408914,0.7556726,0.6534957
0.6599999,0.5330952,0.7825983,0.6209971
0.7199998,0.5244524,0.8139598,0.5792815
0.7799998,0.5182668,0.8377151,0.5443628
0.8399997,0.5117745,0.8643433,0.5010073
0.8999997,0.5061767,0.8894625,0.454922
0.9599996,0.5024114,0.9082744,0.4160952
1.02,0.4991078,0.9272185,0.3719724
1.08,0.4970189,0.9110998,0.4098716
1.14,0.4952874,0.8868454,0.4600032
1.199999,0.4948211,0.8679543,0.494725
1.259999,0.5119518,0.8402178,0.5404921
1.319999,0.5244858,0.8184321,0.5729454
1.379999,0.5375752,0.7867455,0.6157344
1.439999,0.5441604,0.7625111,0.6455031
1.499999,0.5493387,0.7270588,0.6851883
1.559999,0.5462222,0.6898855,0.7226033
1.619999,0.5382118,0.6597323,0.7502338
1.679999,0.5287713,0.6186973,0.7844177
1.739999,0.5231819,0.5906802,0.8057261
1.799999,0.5157475,0.5473444,0.8357701
1.859999,0.5094546,0.5025985,0.863419
1.919999,0.5052994,0.4664815,0.8834549
1.979999,0.50095,0.4185901,0.9071272
