Time,Amplitude
0,0.47
0.01,0.47
0.02,0.47
0.03,0.47
0.04,0.47
0.05,0.47
0.05999999,0.47
0.06999999,0.47
0.07999999,0.47
0.08999999,0.47
0.09999999,0.47
0.11,0.47
0.12,0.47
0.13,0.47
0.14,0.47
0.15,0.47
0.16,0.47
0.17,0.47
0.18,0.47
0.19,0.47
0.2,0.47
0.21,0.47
0.22,0.47
0.23,0.47
0.24,0.47
0.25,0.47
0.26,0.47
0.27,0.47
0.28,0.47
0.29,0.47
0.3,0.47
0.31,0.5024326
0.32,0.5067683
0.33,0.511018
0.3399999,0.5154847
0.3499999,0.5192241
0.3599999,0.5223684
0.3699999,0.5253248
0.3799999,0.5274948
0.3899999,0.529361
0.3999999,0.5307463
0.4099999,0.5314906
0.4199999,0.5317633
0.4299999,0.5288593
0.4399998,0.5260009
0.4499998,0.5232124
0.4599998,0.5206739
0.4699998,0.5181447
0.4799998,0.5157195
0.4899998,0.5134004
0.4999998,0.51121
0.5099998,0.5092925
0.5199998,0.5073857
0.5299998,0.5056801
0.5399998,0.5040494
0.5499998,0.5025725
0.5599998,0.5011868
0.5699998,0.4999755
0.5799997,0.498828
0.5899997,0.4979374
0.5999997,0.4971545
0.6099997,0.4964024
0.6199997,0.4957978
0.6299997,0.495383
0.6399997,0.4950726
0.6499997,0.4948695
0.6599997,0.4948036
0.6699997,0.5006914
0.6799996,0.5061006
0.6899996,0.5111678
0.6999996,0.5154286
0.7099996,0.5192595
0.7199996,0.522601
0.7299996,0.5255687
0.7399996,0.5277112
0.7499996,0.5296229
0.7599996,0.530785
0.7699996,0.5315823
0.7799996,0.5314319
0.7899995,0.5285461
0.7999995,0.5256251
0.8099995,0.5228494
0.8199995,0.5203239
0.8299995,0.5178526
0.8399995,0.5154998
0.8499995,0.5141634
0.8599995,0.5121805
0.8699995,0.5109366
0.8799995,0.5091181
0.8899994,0.5072297
0.8999994,0.5055026
0.9099994,0.5038643
0.9199994,0.5024783
0.9299994,0.5016858
0.9399994,0.5004538
0.9499994,0.4993297
0.9599994,0.4982815
0.9699994,0.497381
0.9799994,0.4966766
0.9899994,0.4962975
0.9999993,0.4957728
1.009999,0.4953395
1.019999,0.4950185
1.029999,0.4948533
1.039999,0.495545
1.049999,0.5016543
1.059999,0.5068753
1.069999,0.5115886
1.079999,0.5168218
1.089999,0.5198643
1.099999,0.5230387
1.109999,0.5257955
1.119999,0.528693
1.129999,0.53002
1.139999,0.5309974
1.149999,0.531611
1.159999,0.5310883
1.169999,0.5283517
1.179999,0.526605
1.189999,0.5240474
1.199999,0.5212838
1.209999,0.5187815
1.219999,0.5163286
1.229999,0.514159
1.239999,0.512831
1.249999,0.5104483
1.259999,0.508785
1.269999,0.5067412
1.279999,0.505045
1.289999,0.5040998
1.299999,0.5026395
1.309999,0.5017763
1.319999,0.5005156
1.329999,0.4992936
1.339999,0.4982907
1.349999,0.4974309
1.359999,0.4966458
1.369999,0.4960239
1.379999,0.4955181
1.389999,0.4951463
1.399999,0.4949109
1.409999,0.4948095
1.419999,0.4989925
1.429999,0.5045024
1.439999,0.5077853
1.449999,0.5120905
1.459999,0.5165998
1.469999,0.5198034
1.479999,0.5217865
1.489999,0.5245479
1.499999,0.5260717
1.509999,0.5280503
1.519999,0.5291191
1.529999,0.5304707
1.539999,0.531373
1.549999,0.531751
1.559999,0.5293847
1.569999,0.5267083
1.579999,0.5249402
1.589999,0.5224651
1.599999,0.5197445
1.609999,0.5173634
1.619999,0.5149245
1.629999,0.5127059
1.639999,0.5107117
1.649999,0.5095669
1.659999,0.5077118
1.669999,0.5060766
1.679999,0.5051019
1.689999,0.5035799
1.699999,0.5022165
1.709999,0.5014282
1.719999,0.5002697
1.729999,0.4995421
1.739999,0.4985626
1.749999,0.49771
1.759999,0.4968781
1.769999,0.4962245
1.779999,0.495665
1.789999,0.495271
1.799999,0.4950848
1.809999,0.4948928
1.819999,0.4948058
1.829999,0.497371
1.839999,0.5026508
1.849999,0.5076857
1.859999,0.5123853
1.869999,0.5148045
1.879999,0.5184374
1.889999,0.520447
1.899999,0.523474
1.909999,0.5250512
1.919999,0.5272721
1.929999,0.5290673
1.939999,0.5299902
1.949998,0.5310543
1.959998,0.5315107
1.969998,0.5317622
1.979998,0.5147392
1.989998,0.5100546
1.999998,0.5083116
2.009999,0.5064896
2.019999,0.5051581
2.029999,0.5035743
2.039999,0.5021436
2.049999,0.5007564
2.059999,0.4994574
2.069999,0.498551
