Time,Amplitude
0,0.47
0.05,0.47
0.1,0.47
0.15,0.47
0.2,0.47
0.25,0.47
0.3,0.47
0.35,0.47
0.4,0.47
0.45,0.47
0.5000001,0.47
0.5500001,0.47
0.6000001,0.47
0.6500001,0.47
0.7000001,0.47
0.7500001,0.47
0.8000001,0.47
0.8500001,0.47
0.9000002,0.47
0.9500002,0.47
1,0.47
1.05,0.47
1.1,0.47
1.15,0.47
1.2,0.47
1.25,0.47
1.3,0.47
1.35,0.47
1.4,0.47
1.45,0.47
1.5,0.47
1.55,0.47
1.6,0.47
1.649999,0.47
1.699999,0.47
1.749999,0.47
1.799999,0.47
1.849999,0.47
1.899999,0.47
1.949999,0.47
1.999999,0.5042249
2.049999,0.5219122
2.099999,0.5354796
2.149999,0.5420903
2.199999,0.5469939
2.249999,0.549955
2.299999,0.543588
2.349999,0.5340927
2.399999,0.5279388
2.449999,0.5220093
2.499999,0.5171807
2.549999,0.5125629
2.599999,0.5083722
2.649999,0.5048208
2.699999,0.5018252
2.749999,0.4993193
2.799999,0.4973502
2.849998,0.4960113
2.899998,0.494994
2.949998,0.4970859
2.999998,0.5126209
3.049998,0.5281283
3.099998,0.5367947
3.149998,0.5434022
3.199998,0.5477137
3.249998,0.5499822
3.299998,0.5465693
3.349998,0.5393717
3.399998,0.5322474
3.449998,0.526464
3.499998,0.5213365
3.549998,0.5146801
3.599998,0.5106493
3.649998,0.5067973
3.699998,0.5033147
3.749998,0.5006055
3.799998,0.4983619
3.849998,0.4966276
3.899997,0.4955165
3.949997,0.4949211
3.999997,0.5013668
4.049997,0.5141331
4.099998,0.5252207
4.149998,0.5349246
4.199998,0.5416162
4.249998,0.5466233
4.299998,0.5497013
4.349998,0.5451319
4.399999,0.5380718
4.449999,0.5314467
4.499999,0.5253823
4.549999,0.5198045
4.599999,0.5151552
4.65,0.5096672
4.7,0.5057197
4.75,0.5026894
4.8,0.5001104
4.85,0.4975349
4.900001,0.4960915
4.950001,0.4951822
5.000001,0.4948098
5.050001,0.5064932
5.100001,0.5194566
5.150002,0.5297917
5.200002,0.5381577
5.250002,0.5443882
5.300002,0.5482537
5.350002,0.5502306
5.400002,0.5431612
5.450003,0.5366502
5.500003,0.5298353
5.550003,0.5236073
5.600003,0.5163808
5.650003,0.5118841
5.700004,0.5079179
5.750004,0.504358
5.800004,0.501391
5.850004,0.4990928
5.900004,0.497206
5.950005,0.4958562
6.000005,0.4950721
6.050005,0.4949465
6.100005,0.5096641
6.150005,0.521565
6.200006,0.5319291
6.250006,0.5414265
6.300006,0.5464322
6.350006,0.5494324
6.400006,0.5492943
6.450006,0.5421152
6.500007,0.5353521
6.550007,0.5283858
6.600007,0.5205533
6.650007,0.5138947
6.700007,0.5099608
6.750008,0.5062438
6.800008,0.5022687
6.850008,0.4996971
6.900008,0.497675
6.950008,0.4961829
7.000009,0.4952298
7.050009,0.4948231
7.100009,0.5057443
7.150009,0.5182271
7.200009,0.5289384
7.25001,0.5374133
7.30001,0.5438176
7.35001,0.5479425
7.40001,0.5501986
7.45001,0.544332
7.50001,0.5367873
7.550011,0.5303988
7.600011,0.5248691
7.650011,0.5189534
7.700011,0.5124518
7.750011,0.5071824
7.800012,0.5031625
7.850012,0.5004372
7.900012,0.497778
7.950012,0.4962475
8.000012,0.4951997
8.050013,0.4973058
8.100013,0.5120623
8.150013,0.5231968
8.200013,0.5331129
8.250013,0.5404356
8.300014,0.5460164
8.350014,0.5491307
8.400014,0.550243
8.450014,0.5411525
8.500014,0.5343032
8.550014,0.5276197
8.600015,0.5224345
8.650015,0.5158633
8.700015,0.511377
8.750015,0.5067949
8.800015,0.502319
8.850016,0.4999229
8.900016,0.4978752
8.950016,0.4962937
9.000016,0.4953127
9.050016,0.4948455
9.100017,0.5072591
9.150017,0.5200592
9.200017,0.5307133
9.250017,0.5382834
9.300017,0.5445236
9.350018,0.5483434
9.400018,0.550128
9.450018,0.5432096
9.500018,0.5358925
9.550018,0.529919
9.600019,0.5237983
9.650019,0.5183774
9.700019,0.5138667
9.750019,0.5095745
9.800019,0.5056887
9.850019,0.5026046
9.90002,0.5000275
9.95002,0.4978458
