Time,Amplitude
0,0.47
0.05,0.5346162
0.1,0.5477791
0.15,0.5449635
0.2,0.527069
0.25,0.5128444
0.3,0.5056809
0.35,0.4998134
0.4,0.4958307
0.45,0.5128335
0.5000001,0.5330743
0.5500001,0.5484254
0.6000001,0.5441707
0.6500001,0.530514
0.7000001,0.5195568
0.7500001,0.510247
0.8000001,0.5031099
0.8500001,0.4977636
0.9000002,0.4953787
0.9500002,0.5007933
1,0.52594
1.05,0.542536
1.1,0.549556
1.15,0.5419386
1.2,0.5278779
1.25,0.5171205
1.3,0.5079234
1.35,0.500355
1.4,0.4965623
1.45,0.4948703
1.5,0.5217678
1.55,0.5396675
1.6,0.5498195
1.649999,0.5396084
1.699999,0.5243821
1.749999,0.5133274
1.799999,0.5057041
1.849999,0.4990065
1.899999,0.495539
1.949999,0.5094545
1.999999,0.5321796
2.049999,0.5465978
2.099999,0.5464179
2.149999,0.5299827
2.199999,0.516461
2.249999,0.5078428
2.299999,0.5008593
2.349999,0.4970999
2.399999,0.4949478
2.449999,0.5114739
2.499999,0.5357776
2.549999,0.5471917
2.599999,0.5480185
2.649999,0.5317488
2.699999,0.5188891
2.749999,0.5078436
2.799999,0.5013412
2.849998,0.4972631
2.899998,0.4950696
2.949998,0.5125515
2.999998,0.5331234
3.049998,0.5480261
3.099998,0.5421464
3.149998,0.5301285
3.199998,0.5168046
3.249998,0.5082378
3.299998,0.5004246
3.349998,0.4961948
3.399998,0.5006767
3.449998,0.5234631
3.499998,0.5421742
3.549998,0.549331
3.599998,0.5406746
3.649998,0.5263504
3.699998,0.5125897
3.749998,0.5049007
3.799998,0.4993128
3.849998,0.4958594
3.899997,0.49481
3.949997,0.5188231
3.999997,0.5388355
4.049997,0.5491425
4.099998,0.539297
4.149998,0.5249328
4.199998,0.5128089
4.249998,0.5056311
4.299998,0.4988391
4.349998,0.4955416
4.399999,0.4993292
4.449999,0.524282
4.499999,0.5398273
4.549999,0.5485992
4.599999,0.5450348
4.65,0.531586
4.7,0.5177636
4.75,0.5083148
4.8,0.5020278
4.85,0.4976375
4.900001,0.4952188
4.950001,0.5128339
5.000001,0.534234
5.050001,0.5464953
5.100001,0.548952
5.150002,0.535251
5.200002,0.5232519
5.250002,0.5117928
5.300002,0.5021847
5.350002,0.4968469
5.400002,0.4949562
5.450003,0.5120273
5.500003,0.5337077
5.550003,0.5475055
5.600003,0.5422652
5.650003,0.529569
5.700004,0.5165318
5.750004,0.5061709
5.800004,0.4991129
5.850004,0.4956983
5.900004,0.4948033
5.950005,0.5241289
6.000005,0.5426493
6.050005,0.5500453
6.100005,0.5383006
6.150005,0.5234962
6.200006,0.5143793
6.250006,0.5054541
6.300006,0.4999218
6.350006,0.4961973
6.400006,0.4948336
6.450006,0.5171077
6.500007,0.5379463
6.550007,0.5491097
6.600007,0.5404732
6.650007,0.5267108
6.700007,0.5142432
6.750008,0.5052888
6.800008,0.4988947
6.850008,0.4957587
6.900008,0.4964024
6.950008,0.5230771
7.000009,0.5397913
7.050009,0.5495004
7.100009,0.5430416
7.150009,0.5292481
7.200009,0.518767
7.25001,0.5104543
7.30001,0.5038715
7.35001,0.4988679
7.40001,0.4958097
7.45001,0.5035974
7.50001,0.5273393
7.550011,0.5420405
7.600011,0.5498352
7.650011,0.5414047
7.700011,0.526951
7.750011,0.5144098
7.800012,0.5050288
7.850012,0.4989856
7.900012,0.4959003
7.950012,0.4948045
8.000012,0.521727
8.050013,0.53939
8.100013,0.5492615
8.150013,0.5405376
8.200013,0.5244805
8.250013,0.5143402
8.300014,0.5062445
8.350014,0.4991754
8.400014,0.4958399
8.450014,0.4961102
8.500014,0.5273285
8.550014,0.5426996
8.600015,0.5501532
8.650015,0.5351764
8.700015,0.5221413
8.750015,0.5110765
8.800015,0.5042051
8.850016,0.4990279
8.900016,0.4956574
8.950016,0.5077678
9.000016,0.5327855
9.050016,0.5478284
9.100017,0.5442224
9.150017,0.5313302
9.200017,0.5197706
9.250017,0.5100502
9.300017,0.5031286
9.350018,0.4980716
9.400018,0.4951452
9.450018,0.5141508
9.500018,0.5347512
9.550018,0.5465685
9.600019,0.5475764
9.650019,0.5317742
9.700019,0.5175927
9.750019,0.5083862
9.800019,0.5019864
9.850019,0.4976592
9.90002,0.4951536
9.95002,0.5072095
